Date : 2023-12-03 17:24:27
Directory : c:\xampp\htdocs\formshub_app
Total : 525 files,  61418 codes, 7296 comments, 9998 blanks, all 78712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\formshub_app\resources\views\components\form-info-tag.blade.php                               | PHP                |         15 |          0 |          2 |         17 |
| c:\xampp\htdocs\formshub_app\resources\views\components\form.blade.php                                        | PHP                |        245 |          0 |         53 |        298 |
| c:\xampp\htdocs\formshub_app\resources\views\components\hide-answer.blade.php                                 | PHP                |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\formshub_app\resources\views\components\input-error.blade.php                                 | PHP                |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\formshub_app\resources\views\components\input-label.blade.php                                 | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\components\loading.blade.php                                     | PHP                |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\formshub_app\resources\views\components\modal.blade.php                                       | PHP                |         72 |          2 |          4 |         78 |
| c:\xampp\htdocs\formshub_app\resources\views\components\nav-link.blade.php                                    | PHP                |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\components\primary-button.blade.php                              | PHP                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\formshub_app\resources\views\components\progress-bar.blade.php                                | PHP                |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\formshub_app\resources\views\components\question-text.blade.php                               | PHP                |         27 |          2 |          9 |         38 |
| c:\xampp\htdocs\formshub_app\resources\views\components\responsive-nav-link.blade.php                         | PHP                |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\components\score-item.blade.php                                  | PHP                |          8 |          0 |          4 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\components\secondary-button.blade.php                            | PHP                |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\components\share-form-box.blade.php                              | PHP                |         57 |          5 |          7 |         69 |
| c:\xampp\htdocs\formshub_app\resources\views\components\tabs-statistics.blade.php                             | PHP                |         14 |          0 |          3 |         17 |
| c:\xampp\htdocs\formshub_app\resources\views\components\text-input.blade.php                                  | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\dashboard.blade.php                                              | PHP                |          8 |          0 |          3 |         11 |
| c:\xampp\htdocs\formshub_app\resources\views\edit_form.blade.php                                              | PHP                |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\formshub_app\resources\views\form-template.blade.php                                          | PHP                |         42 |          0 |         16 |         58 |
| c:\xampp\htdocs\formshub_app\resources\views\form_template_preview.blade.php                                  | PHP                |         42 |          0 |         16 |         58 |
| c:\xampp\htdocs\formshub_app\resources\views\forms.blade.php                                                  | PHP                |          9 |          0 |          7 |         16 |
| c:\xampp\htdocs\formshub_app\resources\views\kiosks.blade.php                                                 | PHP                |          9 |          0 |          8 |         17 |
| c:\xampp\htdocs\formshub_app\resources\views\layouts\app.blade.php                                            | PHP                |        161 |          2 |         36 |        199 |
| c:\xampp\htdocs\formshub_app\resources\views\layouts\guest.blade.php                                          | PHP                |         39 |          0 |         13 |         52 |
| c:\xampp\htdocs\formshub_app\resources\views\layouts\navigation.blade.php                                     | PHP                |        278 |          1 |         60 |        339 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\add-device.blade.php                                    | PHP                |        163 |          0 |         25 |        188 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\add-question.blade.php                                  | PHP                |        333 |        367 |         51 |        751 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\add-ticket.blade.php                                    | PHP                |         76 |          0 |         16 |         92 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\add-todo.blade.php                                      | PHP                |        179 |          0 |         14 |        193 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\addforms.blade.php                                      | PHP                |        325 |         12 |         72 |        409 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\all-responses.blade.php                                 | PHP                |        520 |         35 |        111 |        666 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\allforms.blade.php                                      | PHP                |        220 |          8 |         50 |        278 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\billings.blade.php                                      | PHP                |        128 |          0 |         19 |        147 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\dashboard.blade.php                                     | PHP                |        581 |         18 |        106 |        705 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\edit-form.blade.php                                     | PHP                |        939 |         38 |        169 |      1,146 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\edit-messages.blade.php                                 | PHP                |        105 |          2 |         24 |        131 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\edit-question.blade.php                                 | PHP                |        208 |        434 |         31 |        673 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\forms\edit\edit-form-questions.blade.php                | PHP                |        912 |         38 |        169 |      1,119 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\forms\previews\previewtemplate-form-questions.blade.php | PHP                |      1,455 |        206 |        339 |      2,000 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\forms\templates\template-form-questions.blade.php       | PHP                |      1,455 |        206 |        339 |      2,000 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\formterms.blade.php                                     | PHP                |         61 |          2 |         21 |         84 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\kiosks.blade.php                                        | PHP                |        257 |        224 |         47 |        528 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\loginform.blade.php                                     | PHP                |        144 |          0 |         28 |        172 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\multistepsform.blade.php                                | PHP                |        336 |          2 |         63 |        401 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\overview.blade.php                                      | PHP                |        282 |         21 |         66 |        369 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\preview-form.blade.php                                  | PHP                |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\questions-statistics.blade.php                          | PHP                |      1,275 |         93 |        269 |      1,637 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\show-response.blade.php                                 | PHP                |        244 |          5 |         45 |        294 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\signpdf\add-sign-pdf.blade.php                          | PHP                |        525 |        113 |        166 |        804 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\signpdf\sign-pdf-index.blade.php                        | PHP                |        177 |          8 |         44 |        229 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\signpdf\sign-pdf-template.blade.php                     | PHP                |        442 |         51 |        106 |        599 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\stand-by.blade.php                                      | PHP                |          2 |          0 |          2 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\statistics-form.blade.php                               | PHP                |         58 |          0 |         22 |         80 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\subscribe.blade.php                                     | PHP                |        512 |         14 |        136 |        662 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\subscriptions.blade.php                                 | PHP                |        418 |          1 |         98 |        517 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\support.blade.php                                       | PHP                |        262 |          4 |         18 |        284 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\to-do-list.blade.php                                    | PHP                |        411 |         20 |         74 |        505 |
| c:\xampp\htdocs\formshub_app\resources\views\livewire\view-form.blade.php                                     | PHP                |         21 |          0 |          6 |         27 |
| c:\xampp\htdocs\formshub_app\resources\views\loader.blade.php                                                 | PHP                |         37 |          0 |         16 |         53 |
| c:\xampp\htdocs\formshub_app\resources\views\navigation-menu.blade.php                                        | PHP                |        183 |          0 |         33 |        216 |
| c:\xampp\htdocs\formshub_app\resources\views\pdf\invoice.blade.php                                            | PHP                |        183 |          0 |         47 |        230 |
| c:\xampp\htdocs\formshub_app\resources\views\pdf\response.blade.php                                           | PHP                |        159 |          4 |         32 |        195 |
| c:\xampp\htdocs\formshub_app\resources\views\policy.blade.php                                                 | PHP                |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\preview.blade.php                                                | PHP                |         38 |          0 |         16 |         54 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\delete-user-form.blade.php                               | PHP                |         43 |          0 |         10 |         53 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\edit.blade.php                                           | PHP                |         34 |          0 |          9 |         43 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\logout-other-browser-sessions-form.blade.php             | PHP                |         83 |          0 |         15 |         98 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\partials\delete-user-form.blade.php                      | PHP                |        123 |          1 |         26 |        150 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\partials\update-password-form.blade.php                  | PHP                |        185 |          2 |         28 |        215 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\partials\update-profile-information-form.blade.php       | PHP                |        144 |          0 |         13 |        157 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\show.blade.php                                           | PHP                |         39 |          0 |          9 |         48 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\two-factor-authentication-form.blade.php                 | PHP                |        115 |          0 |         22 |        137 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\update-password-form.blade.php                           | PHP                |        142 |          0 |         22 |        164 |
| c:\xampp\htdocs\formshub_app\resources\views\profile\update-profile-information-form.blade.php                | PHP                |         80 |          0 |         17 |         97 |
| c:\xampp\htdocs\formshub_app\resources\views\sign_pdf_index.blade.php                                         | PHP                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\resources\views\sign_pdf_template.blade.php                                      | PHP                |         36 |          0 |         16 |         52 |
| c:\xampp\htdocs\formshub_app\resources\views\stand_by.blade.php                                               | PHP                |         42 |          0 |         16 |         58 |
| c:\xampp\htdocs\formshub_app\resources\views\statistics.blade.php                                             | PHP                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\resources\views\statistics_all_responses.blade.php                               | PHP                |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\formshub_app\resources\views\statistics_questions.blade.php                                   | PHP                |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\formshub_app\resources\views\subscribe.blade.php                                              | PHP                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\resources\views\support.blade.php                                                | PHP                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\resources\views\temp.blade.php                                                   | PHP                |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\terms.blade.php                                                  | PHP                |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\terms_conditions.blade.php                                       | PHP                |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\formshub_app\resources\views\todolist.blade.php                                               | PHP                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\formshub_app\resources\views\unsubscribe.blade.php                                            | PHP                |         70 |          0 |         22 |         92 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\action-message.blade.php             | PHP                |          9 |          0 |          2 |         11 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\action-section.blade.php             | PHP                |         11 |          0 |          3 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\application-logo.blade.php           | PHP                |          1 |          0 |          2 |          3 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\application-mark.blade.php           | PHP                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\authentication-card-logo.blade.php   | PHP                |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\authentication-card.blade.php        | PHP                |          8 |          0 |          4 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\banner.blade.php                     | PHP                |         43 |          0 |          4 |         47 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\button.blade.php                     | PHP                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\checkbox.blade.php                   | PHP                |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\confirmation-modal.blade.php         | PHP                |         23 |          0 |          5 |         28 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\confirms-password.blade.php          | PHP                |         38 |          0 |          9 |         47 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\danger-button.blade.php              | PHP                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\dialog-modal.blade.php               | PHP                |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\dropdown-link.blade.php              | PHP                |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\dropdown-options.blade.php           | PHP                |         43 |          0 |          5 |         48 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\dropdown.blade.php                   | PHP                |         43 |          0 |          5 |         48 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\form-section.blade.php               | PHP                |         21 |          0 |          4 |         25 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\input-error.blade.php                | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\input.blade.php                      | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\label.blade.php                      | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\modal.blade.php                      | PHP                |         39 |          0 |          5 |         44 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\nav-link.blade.php                   | PHP                |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\responsive-nav-link.blade.php        | PHP                |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\secondary-button.blade.php           | PHP                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\section-border.blade.php             | PHP                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\section-title.blade.php              | PHP                |         11 |          0 |          3 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\switchable-account.blade.php         | PHP                |         37 |          0 |          9 |         46 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\validation-errors.blade.php          | PHP                |         10 |          0 |          2 |         12 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\components\welcome.blade.php                    | PHP                |         80 |          0 |         15 |         95 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\jetstream\mail\account-invitation.blade.php               | PHP                |         15 |          0 |         15 |         30 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\livewire\bootstrap.blade.php                              | PHP                |         46 |          0 |          5 |         51 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\livewire\simple-bootstrap.blade.php                       | PHP                |         40 |          0 |          2 |         42 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\livewire\simple-tailwind.blade.php                        | PHP                |         42 |          0 |          2 |         44 |
| c:\xampp\htdocs\formshub_app\resources\views\vendor\livewire\tailwind.blade.php                               | PHP                |        109 |          0 |          8 |        117 |
| c:\xampp\htdocs\formshub_app\resources\views\viewsurvey.blade.php                                             | PHP                |          9 |          0 |          7 |         16 |
| c:\xampp\htdocs\formshub_app\resources\views\welcome.blade.php                                                | PHP                |        114 |          0 |         20 |        134 |
| c:\xampp\htdocs\formshub_app\routes\api.php                                                                   | PHP                |         13 |         13 |          7 |         33 |
| c:\xampp\htdocs\formshub_app\routes\auth.php                                                                  | PHP                |         42 |          1 |         18 |         61 |
| c:\xampp\htdocs\formshub_app\routes\channels.php                                                              | PHP                |          5 |         10 |          4 |         19 |
| c:\xampp\htdocs\formshub_app\routes\console.php                                                               | PHP                |          6 |         10 |          4 |         20 |
| c:\xampp\htdocs\formshub_app\routes\jetstream.php                                                             | PHP                |        169 |         11 |         41 |        221 |
| c:\xampp\htdocs\formshub_app\routes\web.php                                                                   | PHP                |        181 |         43 |         72 |        296 |
| c:\xampp\htdocs\formshub_app\tailwind.config.js                                                               | JavaScript         |         50 |          5 |         18 |         73 |
| c:\xampp\htdocs\formshub_app\tests\CreatesApplication.php                                                     | PHP                |         12 |          5 |          6 |         23 |
| c:\xampp\htdocs\formshub_app\tests\Feature\ApiTokenPermissionsTest.php                                        | PHP                |         38 |          0 |         10 |         48 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\AuthenticationTest.php                                        | PHP                |         24 |          0 |         10 |         34 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\EmailVerificationTest.php                                     | PHP                |         40 |          0 |         14 |         54 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\PasswordConfirmationTest.php                                  | PHP                |         22 |          0 |         11 |         33 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\PasswordResetTest.php                                         | PHP                |         39 |          0 |         20 |         59 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\PasswordUpdateTest.php                                        | PHP                |         32 |          0 |          9 |         41 |
| c:\xampp\htdocs\formshub_app\tests\Feature\Auth\RegistrationTest.php                                          | PHP                |         16 |          0 |          6 |         22 |
| c:\xampp\htdocs\formshub_app\tests\Feature\AuthenticationTest.php                                             | PHP                |         34 |          0 |         12 |         46 |
| c:\xampp\htdocs\formshub_app\tests\Feature\BrowserSessionsTest.php                                            | PHP                |         19 |          0 |          6 |         25 |
| c:\xampp\htdocs\formshub_app\tests\Feature\CreateApiTokenTest.php                                             | PHP                |         33 |          0 |          9 |         42 |
| c:\xampp\htdocs\formshub_app\tests\Feature\CreateTeamTest.php                                                 | PHP                |         20 |          0 |          7 |         27 |
| c:\xampp\htdocs\formshub_app\tests\Feature\DeleteAccountTest.php                                              | PHP                |         37 |          0 |         14 |         51 |
| c:\xampp\htdocs\formshub_app\tests\Feature\DeleteApiTokenTest.php                                             | PHP                |         30 |          0 |         10 |         40 |
| c:\xampp\htdocs\formshub_app\tests\Feature\DeleteTeamTest.php                                                 | PHP                |         34 |          0 |         12 |         46 |
| c:\xampp\htdocs\formshub_app\tests\Feature\EmailVerificationTest.php                                          | PHP                |         57 |          0 |         23 |         80 |
| c:\xampp\htdocs\formshub_app\tests\Feature\ExampleTest.php                                                    | PHP                |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\formshub_app\tests\Feature\InviteTeamMemberTest.php                                           | PHP                |         47 |          2 |         19 |         68 |
| c:\xampp\htdocs\formshub_app\tests\Feature\LeaveTeamTest.php                                                  | PHP                |         30 |          0 |         12 |         42 |
| c:\xampp\htdocs\formshub_app\tests\Feature\PasswordConfirmationTest.php                                       | PHP                |         33 |          0 |         13 |         46 |
| c:\xampp\htdocs\formshub_app\tests\Feature\PasswordResetTest.php                                              | PHP                |         73 |          0 |         30 |        103 |
| c:\xampp\htdocs\formshub_app\tests\Feature\ProfileInformationTest.php                                         | PHP                |         27 |          0 |         10 |         37 |
| c:\xampp\htdocs\formshub_app\tests\Feature\ProfileTest.php                                                    | PHP                |         64 |          0 |         22 |         86 |
| c:\xampp\htdocs\formshub_app\tests\Feature\RegistrationTest.php                                               | PHP                |         45 |          0 |         16 |         61 |
| c:\xampp\htdocs\formshub_app\tests\Feature\RemoveTeamMemberTest.php                                           | PHP                |         34 |          0 |         12 |         46 |
| c:\xampp\htdocs\formshub_app\tests\Feature\TwoFactorAuthenticationSettingsTest.php                            | PHP                |         56 |          0 |         27 |         83 |
| c:\xampp\htdocs\formshub_app\tests\Feature\UpdateAccountNameTest.php                                          | PHP                |         20 |          0 |          7 |         27 |
| c:\xampp\htdocs\formshub_app\tests\Feature\UpdatePasswordTest.php                                             | PHP                |         50 |          0 |         13 |         63 |
| c:\xampp\htdocs\formshub_app\tests\Feature\UpdateTeamMemberRoleTest.php                                       | PHP                |         41 |          0 |         13 |         54 |
| c:\xampp\htdocs\formshub_app\tests\Pest.php                                                                   | PHP                |         10 |         31 |          8 |         49 |
| c:\xampp\htdocs\formshub_app\tests\TestCase.php                                                               | PHP                |          7 |          0 |          4 |         11 |
| c:\xampp\htdocs\formshub_app\tests\Unit\ExampleTest.php                                                       | PHP                |          4 |          0 |          2 |          6 |
| c:\xampp\htdocs\formshub_app\vendor\mpdf\mpdf\tmp\mpdf\ttfontdata\dejavuserifcondensed.mtx.json               | JSON               |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\formshub_app\vendor\spatie\ignition\resources\compiled\ignition.css                           | CSS                |          1 |          2 |          0 |          3 |
| c:\xampp\htdocs\formshub_app\vendor\spatie\ignition\resources\compiled\ignition.js                            | JavaScript         |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\formshub_app\vite.config.js                                                                   | JavaScript         |         12 |          5 |          1 |         18 |
| Total                                                                                                         |                    |     61,418 |      7,296 |      9,998 |     78,712 |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
